bank,card_name,url,network,tier,islamic,cobrand_partner,annual_fee_aed,joining_fee_aed,min_salary_aed,rewards_program,rewards_rate,cashback_rate,welcome_bonus,lounge_access,lounge_visits_per_year,travel_insurance,purchase_protection,foreign_txn_fee_pct,interest_rate_monthly_pct,other_benefits
FAB,FAB Infinite Credit Card,https://www.bankfab.com/en-ae/personal/cards/credit-cards/infinite-credit-card,Visa Infinite,Infinite,No,,1050,0,30000,FAB Rewards,"3 pts/AED domestic; 6 pts/AED international","",Complimentary Skywards Silver status for 12 months,Yes,Unlimited,Yes,Yes,2.99,3.49,"Golf; airport transfers 4/yr; valet; concierge 24/7; purchase protection; extended warranty"
FAB,FAB World Elite Mastercard,https://www.bankfab.com/en-ae/personal/cards/credit-cards/world-elite-mastercard,Mastercard World Elite,World Elite,No,,1575,0,30000,FAB Rewards,"3 pts/AED domestic; 6 pts/AED international","",Complimentary Skywards Silver status,Yes,Unlimited,Yes,Yes,2.99,3.49,"Golf unlimited; valet; airport transfers; Mastercard Priceless Cities; purchase protection"
FAB,FAB Etihad Guest Signature,https://www.bankfab.com/en-ae/personal/cards/credit-cards/etihad-guest-signature-credit-card,Visa Signature,Signature,No,Etihad Airways,735,0,10000,Etihad Guest Miles,"1.5 miles/AED domestic; 3 miles/AED Etihad","",5000 bonus miles on first spend,Yes,4,Yes,Yes,2.99,3.49,"Etihad lounge access; travel insurance; purchase protection"
FAB,FAB Etihad Guest Platinum,https://www.bankfab.com/en-ae/personal/cards/credit-cards/etihad-guest-platinum-credit-card,Visa Platinum,Platinum,No,Etihad Airways,420,0,8000,Etihad Guest Miles,"1 mile/AED domestic; 2 miles/AED Etihad","",3000 bonus miles on first spend,Yes,2,Yes,Yes,2.99,3.49,"Etihad benefits; travel insurance; purchase protection"
FAB,FAB Skywards Signature,https://www.bankfab.com/en-ae/personal/cards/credit-cards/skywards-signature-credit-card,Visa Signature,Signature,No,Emirates Skywards,735,0,10000,Skywards Miles,"1 mile/AED domestic; 2 miles/AED international; 3 miles/AED Emirates","",Complimentary Skywards Silver 12 months,Yes,4,Yes,Yes,2.99,3.49,"Travel insurance; valet; golf; purchase protection"
FAB,FAB Skywards Platinum,https://www.bankfab.com/en-ae/personal/cards/credit-cards/skywards-platinum-credit-card,Visa Platinum,Platinum,No,Emirates Skywards,420,0,8000,Skywards Miles,"0.75 miles/AED domestic; 1.5 miles/AED international; 2 miles/AED Emirates","",,"Yes",2,Yes,Yes,2.99,3.49,"Travel insurance; purchase protection"
FAB,FAB Cashback Credit Card,https://www.bankfab.com/en-ae/personal/cards/credit-cards/cashback-credit-card,Visa,Standard,No,,0,0,5000,,,"5% dining; 3% groceries; 1% all else",AED 200 cashback welcome,No,0,No,Yes,2.99,3.49,"Free for life; no min spend for cashback"
FAB,FAB Islamic Infinite,https://www.bankfab.com/en-ae/personal/cards/credit-cards/islamic-infinite-credit-card,Visa Infinite,Infinite,Yes,,1050,0,30000,FAB Rewards,"3 pts/AED domestic; 6 pts/AED international","",Complimentary Skywards Silver status,Yes,Unlimited,Yes,Yes,2.99,3.49,"Islamic structure; golf; airport transfers; valet; concierge"
FAB,FAB Islamic World Elite,https://www.bankfab.com/en-ae/personal/cards/credit-cards/islamic-world-elite-mastercard,Mastercard World Elite,World Elite,Yes,,1575,0,30000,FAB Rewards,"3 pts/AED domestic; 6 pts/AED international","",Complimentary Skywards Silver status,Yes,Unlimited,Yes,Yes,2.99,3.49,"Islamic structure; golf unlimited; valet; Mastercard Priceless Cities"
FAB,FAB Islamic Etihad Guest Signature,https://www.bankfab.com/en-ae/personal/cards/credit-cards/islamic-etihad-guest-signature,Visa Signature,Signature,Yes,Etihad Airways,735,0,10000,Etihad Guest Miles,"1.5 miles/AED domestic; 3 miles/AED Etihad","",5000 bonus miles,Yes,4,Yes,Yes,2.99,3.49,"Islamic structure; Etihad lounge; travel insurance"
